,ano,cnae_2,Engenheiros,Pesquisadores,Profissionais Científicos,Total Técnicos,Total Contratados,Potec
337,2006,43291.0,531.0,0.0,96.0,627.0,42384,0.014793318233295584
338,2006,43304.0,350.0,2.0,7.0,359.0,63676,0.005637916954582574
339,2006,43916.0,522.0,1.0,28.0,551.0,22560,0.024423758865248228
340,2006,43991.0,733.0,1.0,118.0,852.0,49508,0.017209339904661874
341,2006,45111.0,101.0,0.0,415.0,516.0,176837,0.002917941381045822
342,2006,45129.0,2.0,0.0,6.0,8.0,5345,0.0014967259120673526
343,2006,45200.0,79.0,1.0,47.0,127.0,133395,0.0009520596724015144
344,2006,45307.0,123.0,1.0,451.0,575.0,308599,0.0018632594402444597
345,2006,45412.0,17.0,0.0,49.0,66.0,46669,0.0014142150035355374
346,2006,46117.0,75.0,0.0,37.0,112.0,4625,0.024216216216216217
347,2006,46125.0,27.0,8.0,27.0,62.0,2606,0.023791250959324637
348,2006,46133.0,8.0,0.0,0.0,8.0,3615,0.0022130013831258644
349,2006,46141.0,38.0,0.0,23.0,61.0,3135,0.01945773524720893
350,2006,46150.0,2.0,0.0,0.0,2.0,1581,0.001265022137887413
351,2006,46168.0,0.0,0.0,21.0,21.0,3891,0.005397070161912105
352,2006,46176.0,5.0,0.0,33.0,38.0,7020,0.005413105413105413
353,2006,46184.0,83.0,6.0,116.0,205.0,10495,0.01953311100524059
354,2006,46192.0,106.0,7.0,85.0,198.0,20958,0.009447466361294017
355,2006,46214.0,15.0,1.0,18.0,34.0,3945,0.00861850443599493
356,2006,46222.0,94.0,0.0,20.0,114.0,5536,0.020592485549132948
